run_time_kst,timeframe,symbol,inst_id,pattern
2026-09-04 10:02:29,15분봉,CRCLUSDT.P,CRCL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 10:02:29,15분봉,TSLAUSDT.P,TSLA-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 10:02:29,15분봉,SPYUSDT.P,SPY-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 10:02:29,15분봉,GOOGLUSDT.P,GOOGL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 10:02:29,15분봉,AMZNUSDT.P,AMZN-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 10:02:29,30분봉,SKHYUSDT.P,SKHY-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 10:02:29,30분봉,QQQUSDT.P,QQQ-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 10:02:29,30분봉,PLTRUSDT.P,PLTR-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 10:02:29,30분봉,EWYUSDT.P,EWY-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 10:02:29,30분봉,KORUUSDT.P,KORU-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 10:02:29,30분봉,CLUSDT.P,CL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 10:02:29,1시간봉,ONDOUSDT.P,ONDO-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 10:02:29,1시간봉,CRCLUSDT.P,CRCL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 10:02:29,1시간봉,GOOGLUSDT.P,GOOGL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:46:11,15분봉,ETHUSDT.P,ETH-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 14:46:11,15분봉,SOLUSDT.P,SOL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 14:46:11,15분봉,XAUUSDT.P,XAU-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 14:46:11,15분봉,MUUSDT.P,MU-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:46:11,15분봉,EWYUSDT.P,EWY-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:46:11,15분봉,CLUSDT.P,CL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 14:46:11,30분봉,ETHUSDT.P,ETH-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 14:46:11,30분봉,PLTRUSDT.P,PLTR-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:46:11,1시간봉,ETHUSDT.P,ETH-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 14:46:11,1시간봉,MUUSDT.P,MU-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 14:46:11,1시간봉,EWYUSDT.P,EWY-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 14:46:11,1시간봉,METAUSDT.P,META-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:46:11,1시간봉,CLUSDT.P,CL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:46:11,1시간봉,AMZNUSDT.P,AMZN-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,15분봉,BTCUSDT.P,BTC-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,15분봉,SNDKUSDT.P,SNDK-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,15분봉,SKHYUSDT.P,SKHY-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,15분봉,GOOGLUSDT.P,GOOGL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,15분봉,NVDAUSDT.P,NVDA-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,15분봉,QQQUSDT.P,QQQ-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,15분봉,XAUUSDT.P,XAU-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 14:48:28,15분봉,MUUSDT.P,MU-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,15분봉,EWYUSDT.P,EWY-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,15분봉,TSMUSDT.P,TSM-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,15분봉,AVGOUSDT.P,AVGO-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,15분봉,KORUUSDT.P,KORU-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,15분봉,CLUSDT.P,CL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 14:48:28,30분봉,PLTRUSDT.P,PLTR-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,1시간봉,MUUSDT.P,MU-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 14:48:28,1시간봉,EWYUSDT.P,EWY-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 14:48:28,1시간봉,METAUSDT.P,META-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 14:48:28,1시간봉,AMZNUSDT.P,AMZN-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 18:59:26,15분봉,GOOGLUSDT.P,GOOGL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 18:59:26,15분봉,SOXLUSDT.P,SOXL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 18:59:26,15분봉,QQQUSDT.P,QQQ-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 18:59:26,15분봉,XAUUSDT.P,XAU-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 18:59:26,15분봉,AMDUSDT.P,AMD-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 18:59:26,15분봉,PLTRUSDT.P,PLTR-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 18:59:26,15분봉,CLUSDT.P,CL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 18:59:26,15분봉,AMZNUSDT.P,AMZN-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 18:59:26,30분봉,ETHUSDT.P,ETH-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 18:59:26,30분봉,ONDOUSDT.P,ONDO-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 18:59:26,30분봉,SOLUSDT.P,SOL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 18:59:26,30분봉,AAPLUSDT.P,AAPL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 18:59:26,30분봉,MSTRUSDT.P,MSTR-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 18:59:26,1시간봉,TSLAUSDT.P,TSLA-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 18:59:26,1시간봉,XAUUSDT.P,XAU-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 23:14:05,15분봉,SOLUSDT.P,SOL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 23:14:05,15분봉,CRCLUSDT.P,CRCL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 23:14:05,15분봉,METAUSDT.P,META-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 23:14:05,30분봉,ETHUSDT.P,ETH-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 23:14:05,30분봉,BTCUSDT.P,BTC-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 23:14:05,30분봉,CRCLUSDT.P,CRCL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 23:14:05,30분봉,AAPLUSDT.P,AAPL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 23:14:05,30분봉,GOOGLUSDT.P,GOOGL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 23:14:05,30분봉,AVGOUSDT.P,AVGO-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 23:14:05,1시간봉,ETHUSDT.P,ETH-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 23:14:05,1시간봉,SNDKUSDT.P,SNDK-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 23:14:05,1시간봉,CRCLUSDT.P,CRCL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 23:14:05,1시간봉,SKHYUSDT.P,SKHY-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 23:14:05,1시간봉,AAPLUSDT.P,AAPL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-04 23:14:05,1시간봉,MSTRUSDT.P,MSTR-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 23:14:05,1시간봉,XAUUSDT.P,XAU-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 23:14:05,1시간봉,AMDUSDT.P,AMD-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-04 23:14:05,1시간봉,METAUSDT.P,META-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 02:38:36,15분봉,ONDOUSDT.P,ONDO-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 02:38:36,15분봉,TSLAUSDT.P,TSLA-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 02:38:36,15분봉,EWYUSDT.P,EWY-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 02:38:36,15분봉,KORUUSDT.P,KORU-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 02:38:36,30분봉,SOLUSDT.P,SOL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 02:38:36,30분봉,SPYUSDT.P,SPY-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 02:38:36,30분봉,NVDAUSDT.P,NVDA-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 02:38:36,30분봉,QQQUSDT.P,QQQ-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 02:38:36,30분봉,XAUUSDT.P,XAU-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 02:38:36,30분봉,AMDUSDT.P,AMD-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 02:38:36,30분봉,PLTRUSDT.P,PLTR-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 02:38:36,30분봉,CLUSDT.P,CL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 02:38:36,30분봉,AMZNUSDT.P,AMZN-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 02:38:36,1시간봉,TSLAUSDT.P,TSLA-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 02:38:36,1시간봉,AAPLUSDT.P,AAPL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 02:38:36,1시간봉,METAUSDT.P,META-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 04:52:17,15분봉,MSTRUSDT.P,MSTR-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 04:52:17,15분봉,GOOGLUSDT.P,GOOGL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 04:52:17,15분봉,NVDAUSDT.P,NVDA-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 04:52:17,15분봉,MUUSDT.P,MU-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 04:52:17,15분봉,PLTRUSDT.P,PLTR-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 04:52:17,15분봉,CLUSDT.P,CL-USDT-SWAP,양봉 · 음봉 · 음봉
2026-09-05 04:52:17,1시간봉,ETHUSDT.P,ETH-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 04:52:17,1시간봉,BTCUSDT.P,BTC-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 04:52:17,1시간봉,ONDOUSDT.P,ONDO-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 04:52:17,1시간봉,SOLUSDT.P,SOL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 04:52:17,1시간봉,CRCLUSDT.P,CRCL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 04:52:17,1시간봉,SPYUSDT.P,SPY-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 04:52:17,1시간봉,SOXLUSDT.P,SOXL-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 04:52:17,1시간봉,NVDAUSDT.P,NVDA-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 04:52:17,1시간봉,QQQUSDT.P,QQQ-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 04:52:17,1시간봉,XAUUSDT.P,XAU-USDT-SWAP,음봉 · 양봉 · 양봉
2026-09-05 04:52:17,1시간봉,MUUSDT.P,MU-USDT-SWAP,음봉 · 양봉 · 양봉
